Rank,CommentDate,Date,RestaurantName,Comment,Address,StarRating,NumberOfReviews,Style,Price
1,2023-09-16,2023-09-17,GRANVILLE,"Great ambiance indoors and attentive staff. Really great food. Right next to Cedars so lots of ambulance sirens, so eat inside if that bothers you. Be careful with the margarita. They must put ghost chili peppers in it because I couldn't feel my lips after one sip. Had to ditch it. But the Stroganoff and brownie dessert were terrific.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-15,2023-09-17,GRANVILLE,Wrong wrong wrong.   AIf you don't fit the Ty as they will escort you out.  Don't drink here.,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-07,2023-09-17,GRANVILLE,Bad service!! The worst servers. Marcos the manager and the host on Thursday 9/7/2023 have been very rude and liars!! NOT COMING BACK HERE AGAIN I WOULD NOT RECOMMEND!,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-06,2023-09-17,GRANVILLE,One of my absolute favorite places in WeHo for brunch. The atmosphere is sleek and inviting and the menu is humongous and varied. Homemade craft colas were a highlight for me but the food was delicious too,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-05,2023-09-17,GRANVILLE,"Always a good experience and food is great.Team are very courteous and pleasant.Not too loud, and nice & clean.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-04,2023-09-17,GRANVILLE,"These five stars are for the food, service, and ambiance.First off, I love how this location allows reservations unlike the one in Pasadena.Secondly the customer service was off the chain. I know there are plenty of snooty customers here daily, I witnessed many while dining here. But that's not what we are here for lol our waitress Charis M and manager Celine were exceptional. This was the first time my friends and I dined here for brunch and we will definitely be coming back.From the drink recommendations to the food everything was delicious and tasteful,It was a group of six of us and we all enjoyed a variety of items on the menu. I will say the grilled cheese dipper and skirt steaks were highlights of the dishes,The cucumber martini was phenomenal , lemon drops were also delicious! Overall our experience here was a really good one thanks to Charis and Celine please continue to hire wonderful employees like these ladies!","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-03,2023-09-17,GRANVILLE,"Visited Granville for a quick lunch and had an excellent experience. We were seated immediately, which was a nice surprise.Started off with the brussel sprouts and bread and butter--both were delicious and set a high expectation for the rest of the meal. For entrees, I had the El Gaucho salad with chicken, and my partner opted for the angel hair pasta. Both were satisfying and flavorful.We were so eager to dig in that we forgot to take photos, so I guess we'll just have to come back for round two! Overall, a solid four-star experience.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-09-03,2023-09-17,GRANVILLE,"Great ambience, generous portions, delicious cocktails, attentive service. Not the most interesting menu ever but it's a good choice. I'd go back.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-08-31,2023-09-17,GRANVILLE,Food was fine. Follow up service was non existent. No one ever came by to take the dirty plates or refill drinks. We had to get up to ask twice for water refills - still never came. We left.,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
1,2023-08-31,2023-09-17,GRANVILLE,"The food was fine and the ambiance was nice. Our server was the bartender and he was kind enough but a bit too busy to focus on our refills and checking in.I ordered the salad with add on veggie chicken. It came out to $23, which I would call very over priced for the portion size. The taste was good but it was a small salad and the $6 add on protein was super bland without much thought given to its preparation.My husband got the Caesar salad with an $8 salmon add on. He enjoyed it but, again, it was small.I don't think our waters were ever refilled.I can understand being busy but I probably wouldn't revisit simply because of the unwarranted high prices.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$
