Rank,CommentDate,Date,RestaurantName,Comment,Address,StarRating,NumberOfReviews,Style,NormalizedRating
1,2023-09-16,2023-09-17,GRANVILLE,"great ambiance indoors and attentive staff. really great food. right next to cedars so lots of ambulance sirens, so eat inside if that bothers you. be careful with the margarita. they must put ghost chili peppers in it because i couldn't feel my lips after one sip. had to ditch it. but the stroganoff and brownie dessert were terrific.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-15,2023-09-17,GRANVILLE,wrong wrong wrong. aif you don't fit the ty as they will escort you out. don't drink here.,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-07,2023-09-17,GRANVILLE,bad service!! the worst servers. marcos the manager and the host on thursday 9/7/2023 have been very rude and liars!! not coming back here again i would not recommend!,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-06,2023-09-17,GRANVILLE,one of my absolute favorite places in weho for brunch. the atmosphere is sleek and inviting and the menu is humongous and varied. homemade craft colas were a highlight for me but the food was delicious too,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-05,2023-09-17,GRANVILLE,"always a good experience and food is great.team are very courteous and pleasant.not too loud, and nice & clean.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-04,2023-09-17,GRANVILLE,"these five stars are for the food, service, and ambiance.first off, i love how this location allows reservations unlike the one in pasadena.secondly the customer service was off the chain. i know there are plenty of snooty customers here daily, i witnessed many while dining here. but that's not what we are here for lol our waitress charis m and manager celine were exceptional. this was the first time my friends and i dined here for brunch and we will definitely be coming back.from the drink recommendations to the food everything was delicious and tasteful,it was a group of six of us and we all enjoyed a variety of items on the menu. i will say the grilled cheese dipper and skirt steaks were highlights of the dishes,the cucumber martini was phenomenal , lemon drops were also delicious! overall our experience here was a really good one thanks to charis and celine please continue to hire wonderful employees like these ladies!","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-03,2023-09-17,GRANVILLE,"visited granville for a quick lunch and had an excellent experience. we were seated immediately, which was a nice surprise.started off with the brussel sprouts and bread and butter--both were delicious and set a high expectation for the rest of the meal. for entrees, i had the el gaucho salad with chicken, and my partner opted for the angel hair pasta. both were satisfying and flavorful.we were so eager to dig in that we forgot to take photos, so i guess we'll just have to come back for round two! overall, a solid four-star experience.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-09-03,2023-09-17,GRANVILLE,"great ambience, generous portions, delicious cocktails, attentive service. not the most interesting menu ever but it's a good choice. i'd go back.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-08-31,2023-09-17,GRANVILLE,food was fine. follow up service was non existent. no one ever came by to take the dirty plates or refill drinks. we had to get up to ask twice for water refills - still never came. we left.,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
1,2023-08-31,2023-09-17,GRANVILLE,"the food was fine and the ambiance was nice. our server was the bartender and he was kind enough but a bit too busy to focus on our refills and checking in.i ordered the salad with add on veggie chicken. it came out to $23, which i would call very over priced for the portion size. the taste was good but it was a small salad and the $6 add on protein was super bland without much thought given to its preparation.my husband got the caesar salad with an $8 salmon add on. he enjoyed it but, again, it was small.i don't think our waters were ever refilled.i can understand being busy but i probably wouldn't revisit simply because of the unwarranted high prices.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",0.6000000000000002
